end,start,tweet_count,keyword
2023-02-14,2023-02-14,0,sketchersxsnoopdog
2023-02-10,2023-02-09,82494,skills
2023-02-11,2023-02-10,80844,skills
2023-02-12,2023-02-11,78399,skills
2023-02-13,2023-02-12,66868,skills
2023-02-14,2023-02-13,84293,skills
2023-02-14,2023-02-14,77707,skills
2023-02-10,2023-02-09,130801,skin
2023-02-11,2023-02-10,121219,skin
2023-02-12,2023-02-11,122313,skin
2023-02-13,2023-02-12,112870,skin
2023-02-14,2023-02-13,123911,skin
2023-02-14,2023-02-14,128190,skin
2023-02-10,2023-02-09,15498,skincare
2023-02-11,2023-02-10,15815,skincare
2023-02-12,2023-02-11,11137,skincare
2023-02-13,2023-02-12,11304,skincare
2023-02-14,2023-02-13,13380,skincare
2023-02-14,2023-02-14,13539,skincare
2023-02-10,2023-02-09,345,skydance
2023-02-11,2023-02-10,314,skydance
2023-02-12,2023-02-11,215,skydance
2023-02-13,2023-02-12,367,skydance
2023-02-14,2023-02-13,342,skydance
2023-02-14,2023-02-14,259,skydance
2023-02-10,2023-02-09,234173,sleep
2023-02-11,2023-02-10,237794,sleep
2023-02-12,2023-02-11,260358,sleep
2023-02-13,2023-02-12,265023,sleep
2023-02-14,2023-02-13,241457,sleep
2023-02-14,2023-02-14,212442,sleep
2023-02-10,2023-02-09,58,sleepingbeauty
2023-02-11,2023-02-10,64,sleepingbeauty
2023-02-12,2023-02-11,59,sleepingbeauty
2023-02-13,2023-02-12,70,sleepingbeauty
2023-02-14,2023-02-13,44,sleepingbeauty
2023-02-14,2023-02-14,54,sleepingbeauty
2023-02-10,2023-02-09,25,sleepnumber
2023-02-11,2023-02-10,81,sleepnumber
2023-02-12,2023-02-11,43,sleepnumber
2023-02-13,2023-02-12,142,sleepnumber
2023-02-14,2023-02-13,167,sleepnumber
2023-02-14,2023-02-14,42,sleepnumber
2023-02-10,2023-02-09,15689,slice
2023-02-11,2023-02-10,23797,slice
2023-02-12,2023-02-11,15603,slice
2023-02-13,2023-02-12,12563,slice
2023-02-14,2023-02-13,11395,slice
2023-02-14,2023-02-14,22186,slice
2023-02-10,2023-02-09,31044,slide
2023-02-11,2023-02-10,35612,slide
2023-02-12,2023-02-11,28510,slide
2023-02-13,2023-02-12,29678,slide
2023-02-14,2023-02-13,52930,slide
2023-02-14,2023-02-14,53539,slide
2023-02-10,2023-02-09,3,slipin
2023-02-11,2023-02-10,4,slipin
2023-02-12,2023-02-11,2,slipin
2023-02-13,2023-02-12,4,slipin
2023-02-14,2023-02-13,11,slipin
2023-02-14,2023-02-14,5,slipin
2023-02-10,2023-02-09,0,slipins
2023-02-11,2023-02-10,0,slipins
2023-02-12,2023-02-11,0,slipins
2023-02-13,2023-02-12,0,slipins
2023-02-14,2023-02-13,2,slipins
2023-02-14,2023-02-14,0,slipins
2023-02-10,2023-02-09,0,slipsin
2023-02-11,2023-02-10,0,slipsin
2023-02-12,2023-02-11,0,slipsin
2023-02-13,2023-02-12,0,slipsin
2023-02-14,2023-02-13,0,slipsin
2023-02-14,2023-02-14,0,slipsin
2023-02-10,2023-02-09,2782,sloth
2023-02-11,2023-02-10,3401,sloth
2023-02-12,2023-02-11,3065,sloth
2023-02-13,2023-02-12,3294,sloth
2023-02-14,2023-02-13,3361,sloth
2023-02-14,2023-02-14,4793,sloth
2023-02-10,2023-02-09,1,slystallone
2023-02-11,2023-02-10,0,slystallone
2023-02-12,2023-02-11,7,slystallone
2023-02-13,2023-02-12,2,slystallone
2023-02-14,2023-02-13,3,slystallone
2023-02-14,2023-02-14,0,slystallone
2023-02-10,2023-02-09,4548,smackdown
2023-02-11,2023-02-10,6608,smackdown
2023-02-12,2023-02-11,56495,smackdown
2023-02-13,2023-02-12,7937,smackdown
2023-02-14,2023-02-13,4955,smackdown
2023-02-14,2023-02-14,4471,smackdown
2023-02-10,2023-02-09,281985,small
2023-02-11,2023-02-10,320301,small
2023-02-12,2023-02-11,274058,small
2023-02-13,2023-02-12,280039,small
2023-02-14,2023-02-13,284735,small
2023-02-14,2023-02-14,269074,small
2023-02-10,2023-02-09,0,smallbite
2023-02-11,2023-02-10,0,smallbite
2023-02-12,2023-02-11,0,smallbite
2023-02-13,2023-02-12,1,smallbite
2023-02-14,2023-02-13,0,smallbite
2023-02-14,2023-02-14,0,smallbite
2023-02-10,2023-02-09,9,smartcast
2023-02-11,2023-02-10,14,smartcast
2023-02-12,2023-02-11,3,smartcast
2023-02-13,2023-02-12,5,smartcast
2023-02-14,2023-02-13,5,smartcast
2023-02-14,2023-02-14,10,smartcast
2023-02-10,2023-02-09,11,smartersleep
2023-02-11,2023-02-10,2,smartersleep
2023-02-12,2023-02-11,4,smartersleep
2023-02-13,2023-02-12,15,smartersleep
2023-02-14,2023-02-13,5,smartersleep
2023-02-14,2023-02-14,2,smartersleep
2023-02-10,2023-02-09,8237,smartphones
2023-02-11,2023-02-10,10400,smartphones
2023-02-12,2023-02-11,11626,smartphones
2023-02-13,2023-02-12,5272,smartphones
2023-02-14,2023-02-13,4816,smartphones
2023-02-14,2023-02-14,10273,smartphones
2023-02-10,2023-02-09,9,smelfconfidence
2023-02-11,2023-02-10,5,smelfconfidence
2023-02-12,2023-02-11,31,smelfconfidence
2023-02-13,2023-02-12,20,smelfconfidence
2023-02-14,2023-02-13,6,smelfconfidence
2023-02-14,2023-02-14,0,smelfconfidence
2023-02-10,2023-02-09,39188,smell
2023-02-11,2023-02-10,47496,smell
2023-02-12,2023-02-11,43440,smell
2023-02-13,2023-02-12,52427,smell
2023-02-14,2023-02-13,45024,smell
2023-02-14,2023-02-14,55576,smell
2023-02-10,2023-02-09,12619,smells
2023-02-11,2023-02-10,17055,smells
2023-02-12,2023-02-11,15405,smells
2023-02-13,2023-02-12,16016,smells
2023-02-14,2023-02-13,15096,smells
2023-02-14,2023-02-14,12580,smells
2023-02-10,2023-02-09,209072,smile
2023-02-11,2023-02-10,252725,smile
2023-02-12,2023-02-11,280792,smile
2023-02-13,2023-02-12,367666,smile
2023-02-14,2023-02-13,265118,smile
2023-02-14,2023-02-14,275003,smile
2023-02-10,2023-02-09,33157,smooth
2023-02-11,2023-02-10,36451,smooth
2023-02-12,2023-02-11,37653,smooth
2023-02-13,2023-02-12,43531,smooth
